BioSample	GenBank
SAMN10320078	GCA_003737005.1_PDT000397393.1
SAMN10320119	GCA_003744485.1_PDT000397419.1
SAMN10356061	GCA_003758865.1_PDT000400092.1
SAMN10359337	GCA_003761305.1_PDT000400383.1
SAMN10366706	GCA_003767445.1_PDT000400730.1
SAMN10375045	GCA_003768745.1_PDT000402937.1
SAMN10375042	GCA_003788025.1_PDT000402941.1
SAMN10251214	GCA_003919755.1_PDT000392180.1
SAMN10096008	GCA_004235985.1_PDT000381974.1
SAMN10241142	GCA_004236485.1_PDT000391316.1
SAMN10177775	GCA_004240825.1_PDT000388679.1
SAMN10260413	GCA_004245265.1_PDT000393001.1
SAMN10505572	GCA_004246265.1_PDT000413021.1
SAMN10397392	GCA_004249425.1_PDT000405378.1
SAMN11388259	GCA_005402725.1_PDT000487950.1
SAMN10134467	GCA_005414395.1_PDT000385405.1
SAMN10176993	GCA_005416075.1_PDT000388550.1
SAMN10231674	GCA_005416575.1_PDT000390384.1
SAMN10460910	GCA_005420575.1_PDT000409745.1
SAMN10751958	GCA_005424955.1_PDT000440454.1
SAMN10095906	GCA_005444015.1_PDT000381904.1
SAMN10133914	GCA_005446205.1_PDT000385207.1
SAMN10144156	GCA_005449225.1_PDT000386892.1
SAMN10246313	GCA_005453925.1_PDT000391680.1
SAMN10424455	GCA_005461895.1_PDT000407250.1
SAMN10450677	GCA_005463315.1_PDT000409338.1
SAMN10538094	GCA_005469775.1_PDT000415560.1
SAMN10686099	GCA_005475935.1_PDT000429427.1
SAMN10788296	GCA_005482435.1_PDT000447591.1
SAMN10810308	GCA_005483535.1_PDT000451275.1
SAMN10881450	GCA_005487045.1_PDT000459697.1
SAMN11130542	GCA_005494405.1_PDT000478280.1
SAMN11191363	GCA_005499345.1_PDT000480816.1
SAMN11178118	GCA_005500885.1_PDT000480280.1
SAMN11178193	GCA_005500905.1_PDT000480400.1
SAMN11360244	GCA_005506475.1_PDT000487346.1
SAMN11375136	GCA_005506615.1_PDT000487717.1
SAMN11360384	GCA_005507275.1_PDT000487454.1
SAMN11178275	GCA_005530695.1_PDT000480377.1
SAMN11191365	GCA_005530795.1_PDT000480814.1
SAMN10088498	GCA_005539675.1_PDT000380658.1
SAMN10102444	GCA_005542235.1_PDT000382786.1
SAMN10139005	GCA_005543595.1_PDT000385974.1
SAMN10251236	GCA_005550055.1_PDT000392205.1
SAMN10685826	GCA_005570655.1_PDT000429253.1
SAMN10925178	GCA_005583255.1_PDT000465557.1
SAMN10965690	GCA_005583975.1_PDT000467026.1
SAMN11149436	GCA_005588255.1_PDT000478696.1
SAMN11249424	GCA_005592435.1_PDT000482138.1
SAMN11392292	GCA_005597095.1_PDT000488215.1
SAMN10096149	GCA_005614875.1_PDT000382136.1
SAMN10134375	GCA_005616095.1_PDT000385323.1
SAMN10142318	GCA_005618115.1_PDT000386633.1
SAMN10230860	GCA_005620615.1_PDT000390327.1
SAMN10424548	GCA_005629315.1_PDT000407319.1
SAMN10534307	GCA_005641095.1_PDT000414759.1
SAMN10538075	GCA_005641595.1_PDT000415541.1
SAMN10584920	GCA_005643855.1_PDT000416581.1
SAMN10088672	GCA_005682915.1_PDT000380817.1
SAMN10134532	GCA_005688275.1_PDT000385527.1
SAMN10240921	GCA_005693595.1_PDT000391120.1
SAMN10241022	GCA_005694015.1_PDT000391202.1
SAMN10501638	GCA_005706715.1_PDT000412424.1
SAMN10505451	GCA_005708075.1_PDT000412951.1
SAMN10938381	GCA_005712935.1_PDT000465881.1
SAMN10585356	GCA_005718355.1_PDT000416724.1
SAMN10722028	GCA_005721955.1_PDT000434082.1
SAMN10877807	GCA_005733095.1_PDT000459455.1
SAMN11148701	GCA_005736335.1_PDT000478516.1
SAMN11178749	GCA_005740755.1_PDT000480583.1
SAMN11158457	GCA_005746275.1_PDT000479396.1
SAMN11618959	GCA_005755055.1_PDT000499769.1
SAMN10102215	GCA_005765315.1_PDT000382621.1
SAMN10096193	GCA_005765555.1_PDT000382127.1
SAMN10231823	GCA_005775045.1_PDT000390469.1
SAMN10257683	GCA_005779725.1_PDT000392678.1
SAMN10241250	GCA_005780525.1_PDT000391372.1
SAMN10450681	GCA_005806245.1_PDT000409358.1
SAMN10502866	GCA_005809525.1_PDT000412611.1
SAMN10500618	GCA_005809645.1_PDT000412355.1
SAMN10537926	GCA_005813085.1_PDT000415472.1
SAMN10774130	GCA_005826325.1_PDT000442925.1
SAMN10830070	GCA_005829565.1_PDT000454057.1
SAMN10976985	GCA_005835785.1_PDT000468003.1
SAMN11477161	GCA_005855665.1_PDT000494221.1
SAMN11509822	GCA_005857525.1_PDT000496422.1
SAMN11509857	GCA_005857905.1_PDT000496437.1
SAMN11871282	GCA_005893945.1_PDT000508928.1
SAMN11619029	GCA_005905305.1_PDT000499789.1
SAMN11641434	GCA_005907825.1_PDT000500827.1
SAMN11654288	GCA_005910165.1_PDT000501122.1
SAMN11660646	GCA_005913905.1_PDT000502827.1
SAMN11672414	GCA_005914505.1_PDT000503079.1
SAMN11823053	GCA_005915125.1_PDT000504812.1
SAMN11784309	GCA_005916365.1_PDT000503501.1
SAMN06629743	GCA_005992285.1_PDT000197970.2
SAMN05799456	GCA_006033835.1_PDT000150444.2
SAMN06756764	GCA_006036355.1_PDT000203442.2
SAMN06236526	GCA_006042175.1_PDT000179227.2
SAMN06829610	GCA_006049035.1_PDT000206003.2
SAMN07258744	GCA_006061955.1_PDT000220721.2
SAMN07274403	GCA_006063415.1_PDT000221368.2
SAMN07322524	GCA_006064955.1_PDT000223297.2
SAMN07352853	GCA_006069015.1_PDT000225805.2
SAMN07409767	GCA_006069595.1_PDT000226482.2
SAMN05788454	GCA_006100755.1_PDT000150435.2
SAMN07146441	GCA_006113085.1_PDT000212594.2
SAMN07342340	GCA_006121215.1_PDT000225083.2
SAMN07415525	GCA_006123915.1_PDT000227211.2
SAMN07415535	GCA_006124355.1_PDT000227197.2
SAMN07415528	GCA_006124515.1_PDT000227189.2
SAMN07415524	GCA_006124535.1_PDT000227188.2
SAMN07415500	GCA_006125055.1_PDT000227172.2
SAMN07415526	GCA_006125075.1_PDT000227213.2
SAMN07415538	GCA_006125155.1_PDT000227214.2
SAMN07423863	GCA_006127135.1_PDT000230424.2
SAMN07441856	GCA_006128475.1_PDT000230708.2
SAMN07419039	GCA_006128945.1_PDT000231268.2
SAMN07450223	GCA_006129035.1_PDT000231377.2
SAMN07450237	GCA_006129135.1_PDT000231388.2
SAMN07436226	GCA_006129415.1_PDT000231773.2
SAMN07489281	GCA_006132935.1_PDT000232672.2
SAMN07497989	GCA_006133375.1_PDT000232726.2
SAMN07498742	GCA_006133735.1_PDT000232859.2
SAMN07508295	GCA_006134555.1_PDT000233560.2
SAMN07508318	GCA_006135175.1_PDT000233584.2
SAMN07516129	GCA_006136195.1_PDT000234101.2
SAMN07516153	GCA_006136235.1_PDT000234113.2
SAMN07518807	GCA_006136455.1_PDT000234127.2
SAMN07522800	GCA_006137575.1_PDT000234690.2
SAMN07351531	GCA_006139925.1_PDT000235456.2
SAMN07523095	GCA_006140235.1_PDT000235807.2
SAMN07842342	GCA_006150625.1_PDT000260007.2
SAMN07568498	GCA_006152625.1_PDT000238239.2
SAMN07665746	GCA_006153565.1_PDT000244256.2
SAMN07551808	GCA_006159015.1_PDT000236185.2
SAMN07615654	GCA_006161905.1_PDT000240517.2
SAMN07837962	GCA_006173845.1_PDT000260075.2
SAMN08043236	GCA_006178705.1_PDT000266708.2
SAMN08165367	GCA_006181515.1_PDT000271646.2
SAMN08289153	GCA_006185045.1_PDT000275458.2
SAMN08376487	GCA_006188105.1_PDT000278909.2
SAMN08377030	GCA_006188665.1_PDT000279037.2
SAMN08379380	GCA_006189645.1_PDT000279375.2
SAMN08385791	GCA_006190925.1_PDT000280899.2
SAMN08446023	GCA_006193465.1_PDT000283291.2
SAMN08579854	GCA_006197665.1_PDT000288340.2
SAMN08622767	GCA_006199605.1_PDT000290182.2
SAMN08774366	GCA_006204925.1_PDT000297161.2
SAMN08774442	GCA_006205145.1_PDT000297200.2
SAMN08774482	GCA_006205205.1_PDT000297218.2
SAMN08774450	GCA_006205245.1_PDT000297212.2
SAMN08823520	GCA_006206865.1_PDT000300957.2
SAMN08865421	GCA_006207985.1_PDT000303227.2
SAMN11482778	GCA_006221095.1_PDT000494774.1
SAMN07694663	GCA_006244725.1_PDT000244658.2
SAMN07781551	GCA_006248615.1_PDT000253339.2
SAMN07987852	GCA_006249955.1_PDT000264997.2
SAMN08196860	GCA_006255575.1_PDT000273558.2
SAMN08379307	GCA_006257275.1_PDT000279292.2
SAMN08379319	GCA_006257335.1_PDT000279293.2
SAMN08446012	GCA_006257555.1_PDT000283284.2
SAMN08379465	GCA_006257755.1_PDT000279436.2
SAMN08446026	GCA_006257785.1_PDT000283299.2
SAMN08383643	GCA_006258735.1_PDT000280513.2
SAMN08383651	GCA_006258815.1_PDT000280524.2
SAMN08289119	GCA_006261615.1_PDT000275433.2
SAMN08379317	GCA_006263515.1_PDT000279287.2
SAMN08383659	GCA_006263575.1_PDT000280516.2
SAMN08374103	GCA_006263615.1_PDT000280634.2
SAMN08389645	GCA_006264435.1_PDT000281693.2
SAMN08772914	GCA_006269115.1_PDT000296451.2
SAMN08773001	GCA_006269485.1_PDT000296515.2
SAMN08804987	GCA_006272275.1_PDT000300503.2
SAMN08945427	GCA_006278725.1_PDT000306933.2
SAMN08981899	GCA_006282175.1_PDT000309163.2
SAMN08226013	GCA_006309185.1_PDT000275165.2
SAMN08289198	GCA_006309445.1_PDT000275484.2
SAMN08376991	GCA_006310585.1_PDT000279020.2
SAMN08376983	GCA_006310685.1_PDT000279005.2
SAMN08379518	GCA_006310785.1_PDT000279457.2
SAMN08383660	GCA_006311125.1_PDT000280526.2
SAMN08385845	GCA_006311945.1_PDT000280937.2
SAMN08385812	GCA_006311965.1_PDT000280892.2
SAMN08446031	GCA_006313605.1_PDT000283298.2
SAMN08428502	GCA_006313745.1_PDT000283797.2
SAMN08581214	GCA_006313785.1_PDT000288514.2
SAMN08471552	GCA_006314225.1_PDT000285247.2
SAMN08581177	GCA_006315105.1_PDT000288485.2
SAMN08774590	GCA_006317585.1_PDT000297256.2
SAMN08772963	GCA_006317625.1_PDT000296491.2
SAMN08774362	GCA_006318325.1_PDT000297158.2
SAMN09213390	GCA_006332435.1_PDT000315277.2
SAMN12034942	GCA_006423175.1_PDT000521231.1
SAMN12055446	GCA_006460505.1_PDT000523214.1
SAMN12060382	GCA_006462505.1_PDT000523338.1
SAMN12075972	GCA_006465075.1_PDT000523829.1
SAMN12078899	GCA_006467405.1_PDT000523953.1
SAMN12090718	GCA_006470065.1_PDT000524513.1
SAMN12098795	GCA_006474075.1_PDT000525324.1
SAMN12098816	GCA_006474785.1_PDT000525332.1
SAMN12108410	GCA_006484205.1_PDT000526050.1
SAMN07280767	GCA_006499175.1_PDT000221139.2
SAMN07551789	GCA_006499355.1_PDT000236165.2
SAMN07688192	GCA_006500935.1_PDT000245947.2
SAMN07735257	GCA_006501395.1_PDT000247252.2
SAMN07710736	GCA_006502515.1_PDT000247424.2
SAMN08134057	GCA_006513395.1_PDT000271074.2
SAMN08385864	GCA_006515775.1_PDT000280953.2
SAMN12036190	GCA_006516075.1_PDT000521413.1
SAMN08446009	GCA_006555045.1_PDT000283280.2
SAMN08976108	GCA_006555165.1_PDT000308457.2
SAMN08446032	GCA_006555335.1_PDT000283294.2
SAMN09374652	GCA_006557305.1_PDT000324268.1
SAMN09724422	GCA_006561145.1_PDT000353996.1
SAMN09909047	GCA_006565405.1_PDT000367119.1
SAMN07508320	GCA_006571845.1_PDT000233586.2
SAMN07508315	GCA_006571925.1_PDT000233587.2
SAMN07958583	GCA_006572905.1_PDT000260385.2
SAMN08446028	GCA_006573925.1_PDT000283289.2
SAMN08446016	GCA_006573945.1_PDT000283290.2
SAMN09223373	GCA_006575705.1_PDT000316353.1
SAMN09283934	GCA_006578825.1_PDT000321496.1
SAMN09430467	GCA_006585515.1_PDT000330190.1
SAMN09435874	GCA_006586745.1_PDT000331859.1
SAMN09479051	GCA_006590045.1_PDT000336032.1
SAMN09513283	GCA_006592445.1_PDT000338341.1
SAMN09537522	GCA_006593725.1_PDT000340870.1
SAMN09604595	GCA_006595665.1_PDT000341670.1
SAMN09689765	GCA_006599385.1_PDT000351505.1
SAMN09763917	GCA_006607195.1_PDT000357346.1
SAMN09772171	GCA_006609215.1_PDT000359032.1
SAMN09787833	GCA_006610045.1_PDT000360512.1
SAMN09787961	GCA_006610535.1_PDT000360608.1
SAMN09839128	GCA_006614285.1_PDT000363092.1
SAMN09881851	GCA_006618065.1_PDT000366634.1
SAMN09905761	GCA_006619245.1_PDT000366903.1
SAMN10037412	GCA_006627285.1_PDT000375370.1
SAMN10037176	GCA_006629145.1_PDT000375216.1
SAMN07450232	GCA_006636565.1_PDT000231386.2
SAMN07551791	GCA_006637405.1_PDT000236175.2
SAMN08446035	GCA_006637605.1_PDT000283302.2
SAMN09231743	GCA_006640095.1_PDT000317480.1
SAMN09237806	GCA_006640745.1_PDT000318383.1
SAMN09474810	GCA_006649905.1_PDT000334578.1
SAMN09513294	GCA_006653385.1_PDT000338357.1
SAMN09604501	GCA_006654605.1_PDT000341581.1
