Specimen ID,NCBI Accession Number,WGS ID,AST Approved,WGS Approved,Genus,Species,Serotype,Data Year,Region Name,Resistance Pattern,Resistance Determinants,Predictive Resistance Pattern,AMP Rslt,AMP Concl,AUG Rslt,AUG Concl,AXO Rslt,AXO Concl,CHL Rslt,CHL Concl,FIS Rslt,FIS Concl,FOX Rslt,FOX Concl,TET Rslt,TET Concl
2015AM-0015,SAMN07268531,2015AM-0015,yes,yes,Salmonella,enterica,Typhimurium,2015,Region 5,No resistance detected,No determinants detected,No determinants detected,1,S,1,S,0.25,S,8,S,16,S,2,S,4,S
2015AM-0056,SAMN07418885,2015AM-0056,yes,yes,Salmonella,enterica,Typhimurium,2015,Region 3,No resistance detected,No determinants detected,No determinants detected,1,S,1,S,0.25,S,4,S,16,S,2,S,4,S
2015AM-0082,SAMN07286125,2015AM-0082,yes,yes,Salmonella,enterica,Typhimurium,2015,Region 8,No resistance detected,No determinants detected,No determinants detected,1,S,1,S,0.25,S,4,S,16,S,2,S,4,S
2015AM-0081,SAMN07286124,2015AM-0081,yes,yes,Salmonella,enterica,Typhimurium,2015,Region 8,No resistance detected,No determinants detected,No determinants detected,1,S,1,S,0.25,S,4,S,32,S,2,S,4,S
2015AM-0097,SAMN07281088,2015AM-0097,yes,yes,Salmonella,enterica,Typhimurium,2015,Region 5,AAuCxTioFox,blaCMY-2 ,AAuCxTioFox,32,R,32,R,32,R,4,S,16,S,32,R,4,S
2015AM-0141,SAMN07268417,2015AM-0141,yes,yes,Salmonella,enterica,Typhimurium,2015,Region 5,No resistance detected,No determinants detected,No determinants detected,1,S,1,S,0.25,S,8,S,32,S,2,S,4,S
2015AM-0139,SAMN07268416,2015AM-0139,yes,yes,Salmonella,enterica,Typhimurium,2015,Region 5,No resistance detected,No determinants detected,No determinants detected,1,S,1,S,0.25,S,8,S,32,S,2,S,4,S
2015AM-0140,SAMN07268414,2015AM-0140,yes,yes,Salmonella,enterica,Typhimurium,2015,Region 5,Nal,No determinants detected,No determinants detected,2,S,2,S,0.25,S,8,S,32,S,4,S,4,S
2015AM-0109,SAMN07409784,2015AM-0109,yes,yes,Salmonella,enterica,Typhimurium,2015,Region 10,No resistance detected,No determinants detected,No determinants detected,1,S,1,S,0.25,S,8,S,16,S,2,S,4,S
2015AM-0110,SAMN07409783,2015AM-0110,yes,yes,Salmonella,enterica,Typhimurium,2015,Region 10,No resistance detected,No determinants detected,No determinants detected,1,S,1,S,0.25,S,4,S,32,S,2,S,4,S
2015AM-0188,SAMN07449801,2015AM-0188,yes,yes,Salmonella,enterica,Typhimurium,2015,Region 5,No resistance detected,No determinants detected,No determinants detected,1,S,1,S,0.25,S,8,S,32,S,2,S,4,S
2015AM-0123,SAMN07277033,2015AM-0123,yes,yes,Salmonella,enterica,Typhimurium,2015,Region 3,No resistance detected,No determinants detected,No determinants detected,1,S,1,S,0.25,S,8,S,32,S,2,S,4,S
2015AM-0170,SAMN07498742,2015AM-0170,yes,yes,Salmonella,enterica,Typhimurium,2015,Region 6,AT,No determinants detected,No determinants detected,32,R,4,S,0.25,S,8,S,64,S,4,S,32,R
2015AM-0169,SAMN07489281,2015AM-0169,yes,yes,Salmonella,enterica,Typhimurium,2015,Region 6,AST,No determinants detected,No determinants detected,32,R,4,S,0.25,S,4,S,32,S,2,S,32,R
